0.01000, 2.00000, -6.64386
0.01000, 3.00000, -4.19182
0.01000, 5.00000, -2.86135
0.01000, 10.00000, -2.00000
0.20000, 2.00000, -2.32193
0.20000, 3.00000, -1.46498
0.20000, 5.00000, -1.00000
0.20000, 10.00000, -0.69897
0.40000, 2.00000, -1.32193
0.40000, 3.00000, -0.83405
0.40000, 5.00000, -0.56932
0.40000, 10.00000, -0.39794
1.40000, 2.00000, 0.48543
1.40000, 3.00000, 0.30627
1.40000, 5.00000, 0.20906
1.40000, 10.00000, 0.14613
2.10000, 2.00000, 1.07039
2.10000, 3.00000, 0.67534
2.10000, 5.00000, 0.46099
2.10000, 10.00000, 0.32222
15.20000, 2.00000, 3.92601
15.20000, 3.00000, 2.47704
15.20000, 5.00000, 1.69084
15.20000, 10.00000, 1.18184
0.01000, 2.00000, -6.64270
0.01000, 3.00000, -4.19230
0.01000, 5.00000, -2.86116
0.01000, 10.00000, -2.00046
0.20000, 2.00000, -2.32168
0.20000, 3.00000, -1.46524
0.20000, 5.00000, -1.00000
0.20000, 10.00000, -0.69918
0.40000, 2.00000, -1.32202
0.40000, 3.00000, -0.83434
0.40000, 5.00000, -0.56942
0.40000, 10.00000, -0.39813
1.40000, 2.00000, 0.48545
1.40000, 3.00000, 0.30637
1.40000, 5.00000, 0.20909
1.40000, 10.00000, 0.14619
2.10000, 2.00000, 1.07029
2.10000, 3.00000, 0.67547
2.10000, 5.00000, 0.46100
2.10000, 10.00000, 0.32232
15.20000, 2.00000, 3.92458
15.20000, 3.00000, 2.47685
15.20000, 5.00000, 1.69040
15.20000, 10.00000, 1.18190
0.01000, 2.00000, -6.64270
0.01000, 3.00000, -4.19230
0.01000, 5.00000, -2.86116
0.01000, 10.00000, -2.00046
0.20000, 2.00000, -2.32168
0.20000, 3.00000, -1.46524
0.20000, 5.00000, -1.00000
0.20000, 10.00000, -0.69918
0.40000, 2.00000, -1.32202
0.40000, 3.00000, -0.83434
0.40000, 5.00000, -0.56942
0.40000, 10.00000, -0.39813
1.40000, 2.00000, 0.48545
1.40000, 3.00000, 0.30637
1.40000, 5.00000, 0.20909
1.40000, 10.00000, 0.14619
2.10000, 2.00000, 1.07029
2.10000, 3.00000, 0.67547
2.10000, 5.00000, 0.46100
2.10000, 10.00000, 0.32232
15.20000, 2.00000, 3.92458
15.20000, 3.00000, 2.47685
15.20000, 5.00000, 1.69040
15.20000, 10.00000, 1.18190
